occurrenceID,nameComplete,decimalLongitude,decimalLatitude
672447070,Crassostrea gigas,-4.0854,50.31665
802306393,Crassostrea gigas,-2.41175,50.57927
296933190,Crassostrea gigas,-3.43399,50.61075
672443227,Crassostrea gigas,-3.49096,50.40046
672451841,Crassostrea gigas,-4.17014,50.35738
672451499,Crassostrea gigas,-1.47858,50.66158
672443554,Crassostrea gigas,-3.27972,50.65572
296933181,Crassostrea gigas,-1.97098,50.67803
251579137,Crassostrea gigas,-0.22484,50.83046
672446812,Crassostrea gigas,-1.23833,50.81765
732016208,Crassostrea gigas,-3.12772,50.68966
672448180,Crassostrea gigas,-1.31939,50.80825
672451454,Crassostrea gigas,-1.54058,50.68792
672446828,Crassostrea gigas,-1.35381,50.78237
251543789,Crassostrea gigas,-1.10004,50.69974
672445941,Crassostrea gigas,-2.91333,50.73201
672452329,Crassostrea gigas,-2.94703,50.71646
